day,temperatureMax,windBearing,dewPoint,cloudCover,windSpeed,pressure,apparentTemperatureHigh,visibility,humidity,apparentTemperatureLow,apparentTemperatureMax,uvIndex,temperatureLow,temperatureMin,temperatureHigh,apparentTemperatureMin,moonPhase,holiday,housecount,TotEnergyPerDay,avg_energy,month,date,datetime
2013-11-13,9.940000000000484,234.0,3.2199999999997413,0.450000000000006,2.2999999999998604,1032.0,9.089999999999026,12.989999999999494,0.8200000000000581,4.06999999999978,9.089999999999026,1.0,6.5400000000006555,2.1100000000000394,9.940000000000484,0.3900000000000434,0.3699999999999513,0,5186,55332.72999130003,10.669635555591984,11,13,719
2013-11-14,9.62000000000068,294.0,3.6100000000002637,0.31999999999998924,4.599999999999722,1023.75,6.610000000000408,13.179999999999971,0.7399999999999026,1.7399999999998332,6.610000000000408,1.0,4.650000000000292,5.180000000000236,9.62000000000068,2.3199999999998324,0.4000000000000381,0,5185,55190.89400640002,10.64433828474446,11,14,720
2013-11-15,9.25,345.0,1.520000000000201,0.26999999999998603,2.5699999999998204,1032.7099999999677,7.410000000000401,13.120000000000932,0.7199999999999227,-0.10000000000000953,7.410000000000401,1.0,1.380000000000093,3.3300000000000263,9.25,1.7399999999998332,0.4300000000000057,0,5185,55935.80899389988,10.788005591880404,11,15,721
2013-11-16,9.139999999999544,272.0,3.6599999999998736,0.34999999999996945,1.3999999999998778,1031.8399999999235,7.919999999998978,9.660000000001117,0.8699999999999166,7.589999999999528,8.360000000000445,1.0,7.589999999999528,1.3800000000000927,9.139999999999544,-0.10000000000000953,0.4699999999999882,1,5182,58534.834993,11.29579988286376,11,16,722
2013-11-17,9.569999999999741,23.0,6.729999999999835,1.0,0.8699999999999166,1024.2400000001319,9.569999999999741,6.409999999999912,0.8699999999999166,8.080000000001037,9.569999999999741,1.0,8.080000000001037,8.27999999999939,9.569999999999741,7.779999999999426,0.5,1,5180,61546.783997000115,11.881618532239404,11,17,723
2013-11-18,9.300000000000582,278.0,7.230000000000068,0.979999999999929,1.7700000000002343,1010.919999999944,8.459999999999297,5.38999999999963,0.9200000000000532,-1.1300000000000894,8.540000000000704,1.0,2.190000000000014,7.370000000000086,9.300000000000582,5.0200000000003655,0.5300000000000332,0,5182,57231.416998899906,11.044271902527962,11,18,724
2013-11-19,6.7799999999995135,314.0,-0.3399999999999719,0.19000000000002507,3.5699999999997902,1013.7599999998694,2.2399999999998217,13.5,0.739999999999903,-4.810000000000338,4.33000000000042,1.0,-1.2700000000001541,0.5999999999999444,5.729999999999626,-2.2299999999997246,0.5599999999999554,0,5173,57394.553994400056,11.095023002977008,11,19,725
2013-11-20,6.380000000000316,263.0,0.7199999999999231,0.519999999999984,3.4099999999998767,1003.9500000000977,3.2099999999995745,12.180000000000266,0.8499999999999648,-0.7699999999999833,3.2099999999995745,1.0,3.1200000000003456,-1.2700000000001537,6.380000000000316,-4.810000000000336,0.5900000000000237,0,5167,61145.56299900001,11.833861621637313,11,20,726
2013-11-21,7.910000000000582,13.0,1.8199999999998675,0.4800000000000158,4.830000000000553,1004.2599999998703,4.38999999999968,11.95999999999925,0.7800000000000863,0.0,4.38999999999968,1.0,3.5200000000003344,3.120000000000345,7.910000000000582,-0.7699999999999833,0.6199999999999272,0,5162,60056.18800659994,11.634286711855859,11,21,727
2013-11-22,7.8899999999995645,4.0,1.5200000000002,0.26999999999998603,4.310000000000222,1017.6600000000748,4.740000000000403,12.360000000000491,0.7600000000000999,0.6100000000000158,4.740000000000403,1.0,3.4099999999998767,3.5200000000003344,7.8899999999995645,0.0,0.6500000000000583,0,5160,59391.5020041001,11.509981008546529,11,22,728
2013-11-23,7.410000000000384,356.0,2.719999999999776,0.4600000000000266,3.370000000000274,1024.2099999999677,4.720000000000188,11.199999999999031,0.82000000000006,3.620000000000184,4.720000000000188,1.0,6.139999999999605,3.4099999999998767,7.410000000000384,0.6100000000000158,0.679999999999944,1,5158,60714.590999100066,11.770955990519596,11,23,729
2013-11-24,8.019999999999646,359.0,3.1700000000000665,0.7699999999999834,3.5499999999996565,1030.419999999944,5.549999999999518,11.779999999999227,0.7800000000000857,1.8900000000000297,5.549999999999518,1.0,4.540000000000553,5.060000000000379,8.019999999999646,2.690000000000103,0.71000000000003,1,5138,63850.87100650001,12.427183924970805,11,24,730
2013-11-25,7.290000000000675,349.0,2.079999999999936,0.7300000000000166,3.3300000000000103,1037.5199999999181,4.6300000000000745,12.169999999998732,0.7699999999999834,1.4099999999999058,4.6300000000000745,1.0,2.9799999999996847,4.540000000000553,7.290000000000675,1.8900000000000297,0.7399999999999037,0,5138,59434.028999700095,11.567541650389275,11,25,731
2013-11-26,7.230000000000043,315.0,0.8600000000000145,0.4699999999999898,2.1700000000000643,1038.7099999999677,5.7700000000003735,12.629999999998873,0.7199999999999238,4.120000000000043,5.7700000000003735,1.0,5.779999999999636,2.9300000000001925,7.230000000000043,1.079999999999944,0.7699999999999834,0,5138,58795.51199989997,11.443268197722842,11,26,732
2013-11-27,10.319999999999737,276.0,6.369999999999669,0.8800000000000835,1.350000000000111,1033.9500000000996,10.319999999999737,6.7599999999994465,0.8899999999999966,8.379999999999631,10.319999999999737,1.0,8.580000000001071,5.779999999999638,10.319999999999737,4.1200000000000445,0.8099999999999591,0,5132,57991.21199720009,11.29992439540142,11,27,733
2013-11-28,9.900000000000905,324.0,6.939999999999659,0.9600000000000316,1.2299999999998577,1034.6399999999633,9.379999999999391,6.340000000000132,0.869999999999917,5.310000000000422,9.379999999999391,0.0,8.040000000000694,8.08000000000103,9.900000000000905,7.9700000000005815,0.8400000000000594,0,5131,56715.429004699836,11.053484506860233,11,28,734
2013-11-29,10.180000000000263,280.0,4.5900000000001295,0.6199999999999274,4.400000000000213,1026.6500000000237,10.180000000000263,11.019999999998872,0.7699999999999834,2.75,10.180000000000263,1.0,6.2099999999993605,6.560000000000494,10.180000000000263,2.9899999999998124,0.869999999999917,0,5130,56413.78299359994,10.996838790175428,11,29,735
2013-11-30,8.379999999999631,330.0,2.100000000000201,0.5,3.680000000000213,1027.299999999901,6.009999999999351,12.459999999999242,0.7300000000000166,0.21000000000001484,6.009999999999351,1.0,2.430000000000172,3.5300000000001477,8.379999999999631,2.1900000000000093,0.909999999999934,1,5129,59138.12399720004,11.530147006667974,11,30,736
2013-12-01,9.419999999998868,308.0,3.479999999999668,0.5500000000000266,1.0200000000000815,1032.9000000000256,8.589999999999204,11.589999999998506,0.829999999999949,6.36999999999967,8.589999999999204,1.0,7.259999999999622,2.430000000000172,9.419999999998868,0.21000000000001484,0.9399999999999804,1,5128,62882.79799919991,12.262636115288592,12,1,737
2013-12-02,9.419999999998868,50.0,4.409999999999871,0.8600000000000153,1.3599999999998893,1033.9500000000996,8.790000000000706,10.699999999999134,0.7899999999999694,4.939999999999645,8.790000000000706,0.0,6.340000000000132,6.590000000000024,9.419999999998868,6.240000000000683,0.9799999999999328,0,5127,57622.56899460004,11.239042128847286,12,2,738
2013-12-03,7.220000000000521,304.0,1.5600000000001708,0.969999999999972,0.9600000000000316,1029.5,6.439999999999449,11.989999999999425,0.7199999999999241,1.5799999999999388,7.220000000000521,0.0,3.6599999999998745,3.6599999999998745,6.439999999999449,1.5799999999999388,0.01999999999999937,0,5125,58496.78199169999,11.414006242282925,12,3,739
2013-12-04,8.91000000000089,276.0,2.2199999999998763,0.5599999999999555,2.8700000000003016,1029.1900000000453,6.6600000000000135,12.25,0.7699999999999834,-2.5400000000003025,6.6600000000000135,1.0,1.079999999999944,2.350000000000218,8.91000000000089,-0.5799999999999584,0.060000000000001975,0,5125,58200.034995000075,11.356104389268308,12,4,740
