day,energy_sum,NoOfHouse,avg_energy,temperatureMax,windBearing,dewPoint,cloudCover,windSpeed,pressure,apparentTemperatureHigh,visibility,humidity,apparentTemperatureLow,apparentTemperatureMax,uvIndex,temperatureLow,temperatureMin,temperatureHigh,apparentTemperatureMin,moonPhase,IsBankHoliday
2012-01-13,5452.582997899995,434,12.563555294700448,6.41,328,1.34,0.16,1.61,1032.84,4.61,11.83,0.83,-1.79,4.61,1.0,-1.79,1.2,6.41,0.08,0.64,0
2012-01-14,5862.809000500003,435,13.477721840229892,6.01,86,-0.3,0.14,0.99,1030.1,5.77,10.54,0.86,-1.38,5.77,1.0,1.16,-1.79,6.01,-1.79,0.68,1
2012-01-15,5918.6999988000025,423,13.99219857872341,6.27,105,-0.41,0.32,3.03,1024.8,2.97,12.33,0.78,-1.97,2.97,1.0,0.83,1.16,6.27,-1.38,0.72,1
2012-01-16,5732.258000300004,433,13.238471132332572,6.56,97,-1.64,0.23,2.45,1025.48,4.18,10.98,0.74,-3.24,4.18,1.0,-1.45,0.83,6.56,-1.97,0.76,0
2012-01-17,5948.154999699998,446,13.336670402914795,5.79,171,-0.09,0.34,1.43,1027.71,5.21,10.61,0.83,1.61,5.21,1.0,3.58,-1.45,5.79,-3.24,0.79,0
2012-01-18,5761.645000800003,449,12.832171493986644,11.92,224,8.14,0.76,4.2,1023.93,11.92,6.28,0.93,10.48,11.92,1.0,10.48,4.51,11.92,2.05,0.83,0
2012-01-19,5629.501998400003,453,12.42715672935983,11.51,261,7.16,0.56,5.23,1018.64,11.5,11.33,0.85,0.73,11.51,1.0,4.91,6.91,11.5,3.28,0.87,0
2012-01-20,5962.2889989000005,463,12.877514036501081,10.05,266,4.23,0.47,6.18,1019.26,10.05,12.99,0.78,5.85,10.05,1.0,8.68,4.91,10.05,0.73,0.9,0
2012-01-21,6138.058999099997,479,12.814319413569931,12.35,270,5.84,0.59,7.17,1012.5,12.35,13.36,0.75,2.14,12.35,1.0,6.0,7.61,12.35,4.21,0.94,1
2012-01-22,6753.510998499999,491,13.754604884928716,11.8,274,2.65,0.37,5.93,1014.29,11.8,13.15,0.68,2.0,11.8,1.0,4.86,6.0,11.8,2.14,0.98,1
2012-01-23,6278.909997399996,492,12.76201218983739,8.4,273,2.57,0.36,3.89,1018.88,5.67,13.04,0.78,-1.04,5.67,1.0,1.94,3.46,8.4,0.91,0.02,0
2012-01-24,6596.9379997,507,13.01171203096647,9.77,228,5.17,0.6,2.13,1019.33,8.01,7.92,0.95,6.79,8.56,1.0,8.63,1.94,9.31,-1.04,0.05,0
2012-01-25,6552.779002600003,515,12.723842723495151,9.76,216,7.59,0.81,3.56,1015.27,7.82,10.38,0.9,4.17,8.59,1.0,6.55,8.59,9.72,5.72,0.08,0
2012-01-26,6540.0319983999925,526,12.43352090950569,9.54,214,4.04,0.51,4.51,1009.15,5.55,12.71,0.8,-0.42,6.9,1.0,2.93,3.15,8.77,-0.23,0.11,0
2012-01-27,6573.181999,531,12.378873821092279,8.68,239,1.44,0.25,3.33,1019.12,6.15,13.0,0.78,1.08,6.15,1.0,3.51,2.93,8.68,-0.42,0.14,0
2012-01-28,7329.552001200006,546,13.424087914285725,6.46,359,2.25,0.57,2.56,1027.99,4.04,11.51,0.86,0.18,4.04,1.0,1.87,3.27,6.46,1.08,0.17,1
2012-01-29,7826.682996999999,554,14.127586637184114,4.5,45,1.43,0.77,1.62,1030.78,2.68,6.73,0.89,-0.24,2.68,1.0,1.24,1.87,4.5,-0.24,0.2,1
2012-01-30,7547.140999300003,554,13.622998193682317,3.98,28,-0.85,0.55,1.54,1026.05,1.94,9.29,0.79,-2.4,2.42,1.0,-0.54,1.24,3.98,0.03,0.23,0
2012-01-31,7922.0670010999975,567,13.971899472839501,2.13,45,-1.22,0.55,2.36,1026.13,1.13,5.62,0.84,-4.98,1.13,1.0,-0.51,-0.54,2.12,-2.95,0.26,0
2012-02-01,8041.490998099999,580,13.86463965189655,3.36,53,-4.69,0.36,5.45,1032.32,-1.86,11.41,0.67,-6.49,-1.86,1.0,-1.66,-0.92,3.36,-5.98,0.29,1
2012-02-02,8527.818997000006,589,14.478470283531419,1.41,47,-7.84,0.29,4.71,1035.76,-3.78,13.05,0.59,-5.97,-3.78,1.0,-2.19,-1.76,1.41,-6.49,0.32,0
2012-02-03,8913.611998100003,604,14.757635758443714,1.54,348,-6.19,0.36,2.2,1039.19,-1.67,12.89,0.67,-4.71,-1.67,1.0,-3.27,-2.19,1.54,-5.77,0.35,0
2012-02-04,9512.953994399995,624,15.245118580769223,0.79,163,-4.19,0.58,2.13,1036.05,-2.96,8.64,0.8,-5.9,-2.32,1.0,-0.81,-3.27,0.79,-5.9,0.38,1
2012-02-05,10014.129000599998,628,15.946065287579614,1.81,168,0.28,0.85,0.93,1027.42,1.81,4.18,0.96,1.39,1.81,1.0,1.39,-0.12,1.81,-4.68,0.42,1
2012-02-06,9024.441000199993,634,14.234134069716077,4.08,94,1.11,0.79,0.56,1033.06,4.08,3.28,0.92,-1.81,4.08,1.0,1.06,1.39,4.08,0.15,0.45,0
2012-02-07,9124.41300379999,654,13.951701840672767,2.63,66,-3.58,0.58,2.66,1039.95,-0.76,8.92,0.75,-7.99,1.92,1.0,-2.83,-2.83,2.63,-7.99,0.48,0
2012-02-08,10094.87600000001,663,15.226057315233799,0.73,39,-3.72,0.89,3.92,1040.92,-3.49,12.55,0.78,-4.23,-3.19,1.0,-0.94,-2.1,0.73,-6.87,0.52,0
2012-02-09,9664.5539993,665,14.533163908721805,1.79,50,-2.67,0.75,0.84,1039.26,1.79,9.75,0.81,-3.09,1.79,1.0,-0.75,-0.96,1.79,-3.7,0.56,0
2012-02-10,10012.460996499987,678,14.767641587758094,1.21,104,-3.39,0.47,2.13,1038.18,-2.22,8.38,0.81,-5.64,-0.54,1.0,-5.64,-2.96,1.21,-5.24,0.59,0
2012-02-11,10323.200004700006,695,14.853525186618713,1.93,19,-5.69,0.04,0.92,1036.81,1.93,6.98,0.78,-6.26,1.93,1.0,-4.46,-5.64,1.93,-5.64,0.63,1
2012-02-12,11087.06300099999,697,15.906833573888077,4.84,307,-1.04,0.59,1.78,1034.52,2.21,4.91,0.88,-1.33,2.73,1.0,1.09,-4.46,4.84,-6.26,0.67,1
2012-02-13,10001.973001200011,696,14.370650863793118,6.58,304,2.69,0.65,3.23,1027.34,3.42,7.79,0.9,1.06,3.42,1.0,4.54,1.09,6.58,-1.33,0.7,0
2012-02-14,9697.692997399989,707,13.716680335784991,8.42,325,2.39,0.57,4.34,1024.57,5.84,12.73,0.76,3.46,5.84,1.0,6.88,4.54,8.42,1.06,0.74,0
2012-02-15,9337.54699790001,712,13.114532300421363,10.61,317,4.01,0.59,5.39,1025.18,10.61,13.13,0.73,3.44,10.61,1.0,5.47,6.93,10.61,3.46,0.78,0
2012-02-16,9149.948998100004,725,12.620619307724144,10.61,284,3.44,0.51,3.42,1027.4,10.61,13.26,0.74,4.9,10.61,1.0,7.13,5.47,10.61,3.44,0.82,0
2012-02-17,8984.892000300008,716,12.548731843994425,11.83,251,6.82,0.59,3.64,1023.17,11.83,12.1,0.84,4.83,11.83,1.0,8.17,7.13,11.83,4.96,0.85,0
2012-02-18,9537.529002399997,736,12.958599188043474,10.76,249,4.27,0.53,5.95,1012.6,10.76,12.92,0.79,-1.92,10.76,1.0,2.04,3.2,10.76,-1.07,0.89,1
2012-02-19,10151.216999899994,738,13.755036585230345,6.35,304,-2.96,0.17,3.81,1024.14,3.63,13.1,0.64,-4.67,3.63,1.0,-1.9,0.62,6.35,-1.92,0.92,1
2012-02-20,9897.9550025,735,13.466605445578232,8.44,224,-1.73,0.33,3.42,1032.06,5.37,12.92,0.7,2.39,5.37,1.0,5.69,-1.9,8.44,-4.67,0.96,0
2012-02-21,9129.059001899997,718,12.714566855013924,11.65,237,4.36,0.66,4.83,1028.85,11.65,13.37,0.76,3.94,11.65,1.0,7.48,5.72,11.65,2.74,0.98,0
2012-02-22,9617.013001100007,744,12.926092743413989,10.47,222,6.12,0.78,6.68,1024.07,6.14,12.07,0.84,5.48,10.47,1.0,9.13,7.48,9.68,3.94,0.03,0
2012-02-23,9138.981002000008,779,11.731682929396673,16.98,256,10.29,0.5,4.73,1022.96,16.98,12.38,0.84,7.01,16.98,1.0,9.55,10.34,16.98,10.34,0.06,0
2012-02-24,9162.224001400016,789,11.612451205830185,14.43,258,8.44,0.6,4.35,1027.25,14.43,12.21,0.83,6.29,14.43,1.0,7.72,9.55,14.43,7.01,0.09,0
2012-02-25,9491.820997799994,801,11.849963792509357,12.11,310,3.28,0.51,2.18,1027.58,12.11,12.83,0.67,1.82,12.11,2.0,3.26,6.97,12.11,5.93,0.12,1
2012-02-26,9979.089998399999,802,12.442755608977555,12.67,260,3.37,0.28,1.43,1028.24,12.67,12.36,0.74,3.69,12.67,2.0,6.27,3.26,12.67,1.82,0.15,1
2012-02-27,9819.364994900005,803,12.228349931382322,11.15,247,6.44,0.67,3.68,1024.91,11.15,11.09,0.85,8.12,11.15,1.0,9.73,6.27,11.15,3.69,0.18,0
2012-02-28,9481.478000100016,818,11.591048899877771,13.86,257,8.89,0.66,2.71,1023.97,13.86,8.71,0.86,8.25,13.86,2.0,9.61,9.73,13.86,8.12,0.21,0
2012-02-29,9590.2399953,826,11.610460042736078,12.74,228,8.31,0.54,2.47,1024.65,12.74,7.77,0.85,6.16,12.74,1.0,6.49,9.61,12.74,8.36,0.24,0
2012-03-01,9511.3969994,842,11.29619596128266,15.11,289,6.67,0.11,1.03,1026.15,15.11,6.08,0.8,4.77,15.11,2.0,5.69,6.49,15.11,6.16,0.27,0
2012-03-02,10143.376000300002,852,11.905370892370895,8.39,84,5.9,0.66,2.11,1025.57,6.55,2.9,0.91,5.07,8.23,2.0,7.06,5.69,8.39,4.77,0.3,0
2012-03-03,10516.288999500004,860,12.228243022674423,14.29,206,6.42,0.55,3.5,1018.94,14.29,7.44,0.82,5.29,14.29,2.0,6.92,7.06,14.29,5.29,0.33,1
2012-03-04,11616.114999700001,862,13.475771461368911,9.32,270,4.87,0.65,2.19,1016.56,7.01,10.36,0.9,-1.21,7.01,1.0,4.04,3.92,9.32,-0.88,0.36,1
2012-03-05,10968.949997999991,862,12.724999997679804,9.37,318,-0.17,0.48,8.01,1021.21,5.56,13.07,0.64,-0.25,5.56,2.0,3.74,4.04,9.37,-1.21,0.4,0
2012-03-06,11376.4849985,866,13.136818704965359,7.22,317,1.63,0.55,1.93,1025.17,7.22,12.55,0.78,1.81,7.22,2.0,4.68,3.74,7.22,-0.25,0.43,0
2012-03-07,11387.2139945,886,12.852385998306998,10.75,242,3.86,0.46,4.26,1017.5,10.75,11.8,0.78,-0.33,10.75,2.0,3.26,5.14,10.75,1.87,0.46,0
